Year,State,Metric,Age Range,"Events per 1,000 women"
2013,OR,Birth Rate,40+,10.8
2014,OR,Birth Rate,40+,11.4
2015,OR,Birth Rate,40+,11.5
2016,OR,Birth Rate,40+,12.4
1988,PA,Birth Rate,40+,3.9
1992,PA,Birth Rate,40+,4.9
1996,PA,Birth Rate,40+,6
2000,PA,Birth Rate,40+,7.2
2005,PA,Birth Rate,40+,8.6
2006,PA,Birth Rate,40+,8.8
2007,PA,Birth Rate,40+,9
2008,PA,Birth Rate,40+,9.1
2009,PA,Birth Rate,40+,9.4
2010,PA,Birth Rate,40+,9.4
2011,PA,Birth Rate,40+,9.4
2012,PA,Birth Rate,40+,9.5
2013,PA,Birth Rate,40+,9.7
2014,PA,Birth Rate,40+,10
2015,PA,Birth Rate,40+,10
2016,PA,Birth Rate,40+,10.1
1988,RI,Birth Rate,40+,3.5
1992,RI,Birth Rate,40+,6.1
1996,RI,Birth Rate,40+,6.6
2000,RI,Birth Rate,40+,7.3
2005,RI,Birth Rate,40+,10.3
2006,RI,Birth Rate,40+,9.6
2007,RI,Birth Rate,40+,9.3
2008,RI,Birth Rate,40+,9
2009,RI,Birth Rate,40+,10.9
2010,RI,Birth Rate,40+,10.2
2011,RI,Birth Rate,40+,10
2012,RI,Birth Rate,40+,10.1
2013,RI,Birth Rate,40+,11.2
2014,RI,Birth Rate,40+,10.2
2015,RI,Birth Rate,40+,11.4
2016,RI,Birth Rate,40+,11.4
1988,SC,Birth Rate,40+,3.4
1992,SC,Birth Rate,40+,3.5
1996,SC,Birth Rate,40+,4.6
2000,SC,Birth Rate,40+,5.5
2005,SC,Birth Rate,40+,6.2
2006,SC,Birth Rate,40+,6.6
2007,SC,Birth Rate,40+,6.8
2008,SC,Birth Rate,40+,7
2009,SC,Birth Rate,40+,7.2
2010,SC,Birth Rate,40+,7.5
2011,SC,Birth Rate,40+,7.5
2012,SC,Birth Rate,40+,7.3
2013,SC,Birth Rate,40+,7.3
2014,SC,Birth Rate,40+,8
2015,SC,Birth Rate,40+,8.3
2016,SC,Birth Rate,40+,8.4
1988,SD,Birth Rate,40+,4.8
1992,SD,Birth Rate,40+,5.2
1996,SD,Birth Rate,40+,5.5
2000,SD,Birth Rate,40+,5.9
2005,SD,Birth Rate,40+,7.9
2006,SD,Birth Rate,40+,7.9
2007,SD,Birth Rate,40+,6.7
2008,SD,Birth Rate,40+,8.1
2009,SD,Birth Rate,40+,9
2010,SD,Birth Rate,40+,8.3
2011,SD,Birth Rate,40+,9.9
2012,SD,Birth Rate,40+,8.4
2013,SD,Birth Rate,40+,8.8
2014,SD,Birth Rate,40+,8.8
2015,SD,Birth Rate,40+,9.7
2016,SD,Birth Rate,40+,10.6
1988,TN,Birth Rate,40+,3.2
1992,TN,Birth Rate,40+,3.3
1996,TN,Birth Rate,40+,4.7
2000,TN,Birth Rate,40+,5
2005,TN,Birth Rate,40+,6
2006,TN,Birth Rate,40+,6.3
2007,TN,Birth Rate,40+,6.4
2008,TN,Birth Rate,40+,6.3
2009,TN,Birth Rate,40+,6.6
2010,TN,Birth Rate,40+,6.9
2011,TN,Birth Rate,40+,7
2012,TN,Birth Rate,40+,7
2013,TN,Birth Rate,40+,7.1
2014,TN,Birth Rate,40+,7.6
2015,TN,Birth Rate,40+,7.8
2016,TN,Birth Rate,40+,8.1
1988,TX,Birth Rate,40+,4.9
1992,TX,Birth Rate,40+,5.8
1996,TX,Birth Rate,40+,6.5
2000,TX,Birth Rate,40+,7.4
2005,TX,Birth Rate,40+,8.8
2006,TX,Birth Rate,40+,9.1
2007,TX,Birth Rate,40+,9.4
2008,TX,Birth Rate,40+,9.8
2009,TX,Birth Rate,40+,10.3
2010,TX,Birth Rate,40+,10.3
2011,TX,Birth Rate,40+,10.5
2012,TX,Birth Rate,40+,10.6
2013,TX,Birth Rate,40+,10.8
2014,TX,Birth Rate,40+,11
2015,TX,Birth Rate,40+,11.5
2016,TX,Birth Rate,40+,11.8
1973,US,Birth Rate,40+,5.7
1974,US,Birth Rate,40+,5.1
1975,US,Birth Rate,40+,4.9
1976,US,Birth Rate,40+,4.5
1977,US,Birth Rate,40+,4.5
1978,US,Birth Rate,40+,4.1
1979,US,Birth Rate,40+,4.1
1980,US,Birth Rate,40+,4.1
1981,US,Birth Rate,40+,4
1982,US,Birth Rate,40+,4.1
1983,US,Birth Rate,40+,4
1984,US,Birth Rate,40+,4
1985,US,Birth Rate,40+,4.1
1986,US,Birth Rate,40+,4.2
1987,US,Birth Rate,40+,4.6
1988,US,Birth Rate,40+,5
1989,US,Birth Rate,40+,5.3
1990,US,Birth Rate,40+,5.6
1991,US,Birth Rate,40+,5.7
1992,US,Birth Rate,40+,6.1
1993,US,Birth Rate,40+,6.3
1994,US,Birth Rate,40+,6.6
1995,US,Birth Rate,40+,6.8
1996,US,Birth Rate,40+,7.1
1997,US,Birth Rate,40+,7.4
1998,US,Birth Rate,40+,7.7
1999,US,Birth Rate,40+,7.8
2000,US,Birth Rate,40+,8.3
2001,US,Birth Rate,40+,8.5
2002,US,Birth Rate,40+,8.8
2003,US,Birth Rate,40+,9.3
2004,US,Birth Rate,40+,9.5
2005,US,Birth Rate,40+,9.7
2006,US,Birth Rate,40+,10
2007,US,Birth Rate,40+,10.2
2008,US,Birth Rate,40+,10.6
2009,US,Birth Rate,40+,10.8
2010,US,Birth Rate,40+,10.9
2011,US,Birth Rate,40+,11
2012,US,Birth Rate,40+,11.1
2013,US,Birth Rate,40+,11.2
2014,US,Birth Rate,40+,11.4
2015,US,Birth Rate,40+,11.9
2016,US,Birth Rate,40+,12.3
1988,UT,Birth Rate,40+,9.9
1992,UT,Birth Rate,40+,9.6
1996,UT,Birth Rate,40+,8.7
2000,UT,Birth Rate,40+,9.7
2005,UT,Birth Rate,40+,10.5
2006,UT,Birth Rate,40+,10.6
2007,UT,Birth Rate,40+,11.5
2008,UT,Birth Rate,40+,11.6
2009,UT,Birth Rate,40+,11.3
2010,UT,Birth Rate,40+,11.9
2011,UT,Birth Rate,40+,11.1
2012,UT,Birth Rate,40+,11.6
2013,UT,Birth Rate,40+,11.3
2014,UT,Birth Rate,40+,11.9
2015,UT,Birth Rate,40+,12
2016,UT,Birth Rate,40+,12.5
1988,VT,Birth Rate,40+,4.5
1992,VT,Birth Rate,40+,5.4
1996,VT,Birth Rate,40+,5.6
2000,VT,Birth Rate,40+,7.1
2005,VT,Birth Rate,40+,7.7
2006,VT,Birth Rate,40+,9.4
2007,VT,Birth Rate,40+,8.1
2008,VT,Birth Rate,40+,7.2
2009,VT,Birth Rate,40+,9.4
2010,VT,Birth Rate,40+,9.2
2011,VT,Birth Rate,40+,9.2
2012,VT,Birth Rate,40+,8.1
2013,VT,Birth Rate,40+,9.8
2014,VT,Birth Rate,40+,10.4
2015,VT,Birth Rate,40+,8
2016,VT,Birth Rate,40+,10
1988,VA,Birth Rate,40+,4.9
1992,VA,Birth Rate,40+,5.7
1996,VA,Birth Rate,40+,6.8
2000,VA,Birth Rate,40+,8.7
2005,VA,Birth Rate,40+,10.7
2006,VA,Birth Rate,40+,10.6
2007,VA,Birth Rate,40+,10.4
2008,VA,Birth Rate,40+,11.4
2009,VA,Birth Rate,40+,11.4
2010,VA,Birth Rate,40+,11.8
2011,VA,Birth Rate,40+,12.1
2012,VA,Birth Rate,40+,12
2013,VA,Birth Rate,40+,12.2
2014,VA,Birth Rate,40+,12.3
2015,VA,Birth Rate,40+,12.9
2016,VA,Birth Rate,40+,13.4
1988,WA,Birth Rate,40+,5.1
1992,WA,Birth Rate,40+,6.7
1996,WA,Birth Rate,40+,7.6
2000,WA,Birth Rate,40+,8.5
2005,WA,Birth Rate,40+,9.8
2006,WA,Birth Rate,40+,10.9
2007,WA,Birth Rate,40+,11
2008,WA,Birth Rate,40+,11.7
2009,WA,Birth Rate,40+,12.3
2010,WA,Birth Rate,40+,11.8
2011,WA,Birth Rate,40+,12.1
2012,WA,Birth Rate,40+,11.8
2013,WA,Birth Rate,40+,12.3
2014,WA,Birth Rate,40+,12.2
2015,WA,Birth Rate,40+,13.1
2016,WA,Birth Rate,40+,13.6
1988,WV,Birth Rate,40+,2.5
1992,WV,Birth Rate,40+,3
1996,WV,Birth Rate,40+,3.1
2000,WV,Birth Rate,40+,3.9
2005,WV,Birth Rate,40+,5.2
2006,WV,Birth Rate,40+,5
2007,WV,Birth Rate,40+,6
2008,WV,Birth Rate,40+,5.5
2009,WV,Birth Rate,40+,5
2010,WV,Birth Rate,40+,6.2
2011,WV,Birth Rate,40+,5.6
2012,WV,Birth Rate,40+,5.2
2013,WV,Birth Rate,40+,4.5
2014,WV,Birth Rate,40+,5.1
2015,WV,Birth Rate,40+,5.9
2016,WV,Birth Rate,40+,5.2
1988,WI,Birth Rate,40+,4.4
1992,WI,Birth Rate,40+,4.9
1996,WI,Birth Rate,40+,5.7
2000,WI,Birth Rate,40+,7
2005,WI,Birth Rate,40+,7.5
2006,WI,Birth Rate,40+,8
2007,WI,Birth Rate,40+,8.1
2008,WI,Birth Rate,40+,8.3
2009,WI,Birth Rate,40+,8.5
2010,WI,Birth Rate,40+,8.4
2011,WI,Birth Rate,40+,8.4
2012,WI,Birth Rate,40+,8.8
2013,WI,Birth Rate,40+,8.5
2014,WI,Birth Rate,40+,8.7
2015,WI,Birth Rate,40+,9.1
2016,WI,Birth Rate,40+,9.1
1988,WY,Birth Rate,40+,4
1992,WY,Birth Rate,40+,4
1996,WY,Birth Rate,40+,4.8
2000,WY,Birth Rate,40+,5.2
2005,WY,Birth Rate,40+,6.3
2006,WY,Birth Rate,40+,7.6
2007,WY,Birth Rate,40+,7
2008,WY,Birth Rate,40+,7.5
2009,WY,Birth Rate,40+,8.4
2010,WY,Birth Rate,40+,8.1
2011,WY,Birth Rate,40+,6.9
2012,WY,Birth Rate,40+,7.6
2013,WY,Birth Rate,40+,8.3
2014,WY,Birth Rate,40+,7.6
2015,WY,Birth Rate,40+,8.7
2016,WY,Birth Rate,40+,9.3
1988,AL,Birth Rate,30-34,59.3
1992,AL,Birth Rate,30-34,61.6
1996,AL,Birth Rate,30-34,65.4
2000,AL,Birth Rate,30-34,70.7
2005,AL,Birth Rate,30-34,74.4
2006,AL,Birth Rate,30-34,75.1
2007,AL,Birth Rate,30-34,78
2008,AL,Birth Rate,30-34,78
2009,AL,Birth Rate,30-34,77.7
2010,AL,Birth Rate,30-34,76.1
2011,AL,Birth Rate,30-34,77.2
2012,AL,Birth Rate,30-34,78.3
2013,AL,Birth Rate,30-34,78.7
2014,AL,Birth Rate,30-34,84.1
2015,AL,Birth Rate,30-34,85.3
2016,AL,Birth Rate,30-34,86.6
1988,AK,Birth Rate,30-34,79
1992,AK,Birth Rate,30-34,83.7
1996,AK,Birth Rate,30-34,78
2000,AK,Birth Rate,30-34,91.4
2005,AK,Birth Rate,30-34,96.8
2006,AK,Birth Rate,30-34,99.8
2007,AK,Birth Rate,30-34,99.6
2008,AK,Birth Rate,30-34,103.1
2009,AK,Birth Rate,30-34,102.7
2010,AK,Birth Rate,30-34,106.1
2011,AK,Birth Rate,30-34,102.1
2012,AK,Birth Rate,30-34,103.2
2013,AK,Birth Rate,30-34,105.1
2014,AK,Birth Rate,30-34,107.6
2015,AK,Birth Rate,30-34,108
2016,AK,Birth Rate,30-34,108.4
1988,AZ,Birth Rate,30-34,78.4
1992,AZ,Birth Rate,30-34,80.8
1996,AZ,Birth Rate,30-34,81.7
2000,AZ,Birth Rate,30-34,92.5
2005,AZ,Birth Rate,30-34,104.1
2006,AZ,Birth Rate,30-34,105.5
2007,AZ,Birth Rate,30-34,107.8
2008,AZ,Birth Rate,30-34,104.4
2009,AZ,Birth Rate,30-34,98
2010,AZ,Birth Rate,30-34,94.5
2011,AZ,Birth Rate,30-34,92.9
2012,AZ,Birth Rate,30-34,94.6
2013,AZ,Birth Rate,30-34,92.8
2014,AZ,Birth Rate,30-34,97.1
2015,AZ,Birth Rate,30-34,95.4
2016,AZ,Birth Rate,30-34,96.7
1988,AR,Birth Rate,30-34,53.4
1992,AR,Birth Rate,30-34,53
1996,AR,Birth Rate,30-34,58.7
2000,AR,Birth Rate,30-34,64.6
2005,AR,Birth Rate,30-34,72.4
2006,AR,Birth Rate,30-34,74
2007,AR,Birth Rate,30-34,74.1
2008,AR,Birth Rate,30-34,75.4
2009,AR,Birth Rate,30-34,73.6
2010,AR,Birth Rate,30-34,73.7
2011,AR,Birth Rate,30-34,75.6
2012,AR,Birth Rate,30-34,77.5
2013,AR,Birth Rate,30-34,76.3
2014,AR,Birth Rate,30-34,82
2015,AR,Birth Rate,30-34,84
2016,AR,Birth Rate,30-34,83.8
1988,CA,Birth Rate,30-34,86.6
1992,CA,Birth Rate,30-34,93.2
1996,CA,Birth Rate,30-34,90.6
2000,CA,Birth Rate,30-34,97.7
2005,CA,Birth Rate,30-34,105.9
2006,CA,Birth Rate,30-34,108.2
2007,CA,Birth Rate,30-34,110.6
2008,CA,Birth Rate,30-34,108
2009,CA,Birth Rate,30-34,103.4
2010,CA,Birth Rate,30-34,101.2
2011,CA,Birth Rate,30-34,101.9
2012,CA,Birth Rate,30-34,103.6
2013,CA,Birth Rate,30-34,103
2014,CA,Birth Rate,30-34,106.2
2015,CA,Birth Rate,30-34,104.9
2016,CA,Birth Rate,30-34,105.3
1988,CO,Birth Rate,30-34,74.5
1992,CO,Birth Rate,30-34,77.6
1996,CO,Birth Rate,30-34,79.6
2000,CO,Birth Rate,30-34,95.4
2005,CO,Birth Rate,30-34,102.4
2006,CO,Birth Rate,30-34,104.5
2007,CO,Birth Rate,30-34,103.3
2008,CO,Birth Rate,30-34,102.5
2009,CO,Birth Rate,30-34,100.8
2010,CO,Birth Rate,30-34,98.4
2011,CO,Birth Rate,30-34,99.2
2012,CO,Birth Rate,30-34,98.4
2013,CO,Birth Rate,30-34,98.4
2014,CO,Birth Rate,30-34,98.8
2015,CO,Birth Rate,30-34,99.9
2016,CO,Birth Rate,30-34,100.4
1988,CT,Birth Rate,30-34,88.2
1992,CT,Birth Rate,30-34,95.5
1996,CT,Birth Rate,30-34,102.4
2000,CT,Birth Rate,30-34,106.3
2005,CT,Birth Rate,30-34,113.5
2006,CT,Birth Rate,30-34,113.6
2007,CT,Birth Rate,30-34,113.4
2008,CT,Birth Rate,30-34,111.6
2009,CT,Birth Rate,30-34,107.8
2010,CT,Birth Rate,30-34,109.2
2011,CT,Birth Rate,30-34,108.7
2012,CT,Birth Rate,30-34,106.4
2013,CT,Birth Rate,30-34,106.9
2014,CT,Birth Rate,30-34,109.4
2015,CT,Birth Rate,30-34,110.7
2016,CT,Birth Rate,30-34,112.9
1988,DE,Birth Rate,30-34,74.4
1992,DE,Birth Rate,30-34,80.3
1996,DE,Birth Rate,30-34,82.9
2000,DE,Birth Rate,30-34,90.9
2005,DE,Birth Rate,30-34,103.4
2006,DE,Birth Rate,30-34,105.2
2007,DE,Birth Rate,30-34,107.8
2008,DE,Birth Rate,30-34,100.7
2009,DE,Birth Rate,30-34,98.1
2010,DE,Birth Rate,30-34,99.3
2011,DE,Birth Rate,30-34,98.1
2012,DE,Birth Rate,30-34,101.5
2013,DE,Birth Rate,30-34,101.3
2014,DE,Birth Rate,30-34,103.7
2015,DE,Birth Rate,30-34,106.8
2016,DE,Birth Rate,30-34,106
1988,DC,Birth Rate,30-34,63.4
1992,DC,Birth Rate,30-34,74.2
1996,DC,Birth Rate,30-34,63.3
2000,DC,Birth Rate,30-34,69
2005,DC,Birth Rate,30-34,73.9
2006,DC,Birth Rate,30-34,78.2
2007,DC,Birth Rate,30-34,81.4
2008,DC,Birth Rate,30-34,86
2009,DC,Birth Rate,30-34,81.8
2010,DC,Birth Rate,30-34,84.9
2011,DC,Birth Rate,30-34,83
2012,DC,Birth Rate,30-34,77.1
2013,DC,Birth Rate,30-34,79.3
2014,DC,Birth Rate,30-34,77.6
2015,DC,Birth Rate,30-34,75.1
2016,DC,Birth Rate,30-34,76
1988,FL,Birth Rate,30-34,70.9
1992,FL,Birth Rate,30-34,72.2
1996,FL,Birth Rate,30-34,74
2000,FL,Birth Rate,30-34,83.3
2005,FL,Birth Rate,30-34,90.3
2006,FL,Birth Rate,30-34,93
2007,FL,Birth Rate,30-34,94.9
2008,FL,Birth Rate,30-34,92.7
2009,FL,Birth Rate,30-34,89.2
2010,FL,Birth Rate,30-34,88.6
2011,FL,Birth Rate,30-34,89
2012,FL,Birth Rate,30-34,88.9
2013,FL,Birth Rate,30-34,91.5
2014,FL,Birth Rate,30-34,93.5
2015,FL,Birth Rate,30-34,95.9
2016,FL,Birth Rate,30-34,96.9
1988,GA,Birth Rate,30-34,62.4
1992,GA,Birth Rate,30-34,66.3
1996,GA,Birth Rate,30-34,70.7
2000,GA,Birth Rate,30-34,83.2
2005,GA,Birth Rate,30-34,91.3
2006,GA,Birth Rate,30-34,93
2007,GA,Birth Rate,30-34,95
2008,GA,Birth Rate,30-34,92.3
2009,GA,Birth Rate,30-34,90
2010,GA,Birth Rate,30-34,88.1
2011,GA,Birth Rate,30-34,88.7
2012,GA,Birth Rate,30-34,87.6
2013,GA,Birth Rate,30-34,88.9
2014,GA,Birth Rate,30-34,92.1
2015,GA,Birth Rate,30-34,93.5
2016,GA,Birth Rate,30-34,94.6
1988,HI,Birth Rate,30-34,86.7
1992,HI,Birth Rate,30-34,88.3
1996,HI,Birth Rate,30-34,88
2000,HI,Birth Rate,30-34,95.3
2005,HI,Birth Rate,30-34,100.5
2006,HI,Birth Rate,30-34,106.1
2007,HI,Birth Rate,30-34,108.9
2008,HI,Birth Rate,30-34,111.3
2009,HI,Birth Rate,30-34,105.4
2010,HI,Birth Rate,30-34,105.7
2011,HI,Birth Rate,30-34,104.1
2012,HI,Birth Rate,30-34,106.9
2013,HI,Birth Rate,30-34,102.1
2014,HI,Birth Rate,30-34,103.9
2015,HI,Birth Rate,30-34,102.6
2016,HI,Birth Rate,30-34,102.8
1988,ID,Birth Rate,30-34,74.9
1992,ID,Birth Rate,30-34,79.2
1996,ID,Birth Rate,30-34,82.3
2000,ID,Birth Rate,30-34,92.7
2005,ID,Birth Rate,30-34,99.5
2006,ID,Birth Rate,30-34,102.1
2007,ID,Birth Rate,30-34,103.1
2008,ID,Birth Rate,30-34,105.4
2009,ID,Birth Rate,30-34,101.9
2010,ID,Birth Rate,30-34,100.3
2011,ID,Birth Rate,30-34,99.4
2012,ID,Birth Rate,30-34,102.5
2013,ID,Birth Rate,30-34,98.8
2014,ID,Birth Rate,30-34,103.2
2015,ID,Birth Rate,30-34,105
2016,ID,Birth Rate,30-34,106.1
1988,IL,Birth Rate,30-34,79.7
1992,IL,Birth Rate,30-34,86
1996,IL,Birth Rate,30-34,89.5
2000,IL,Birth Rate,30-34,99.3
2005,IL,Birth Rate,30-34,102.8
2006,IL,Birth Rate,30-34,103.5
2007,IL,Birth Rate,30-34,104.2
2008,IL,Birth Rate,30-34,104.8
2009,IL,Birth Rate,30-34,103.7
2010,IL,Birth Rate,30-34,102.4
2011,IL,Birth Rate,30-34,102
2012,IL,Birth Rate,30-34,101.6
2013,IL,Birth Rate,30-34,102.1
2014,IL,Birth Rate,30-34,105.4
2015,IL,Birth Rate,30-34,107.1
2016,IL,Birth Rate,30-34,108.1
1988,IN,Birth Rate,30-34,61.6
1992,IN,Birth Rate,30-34,67
1996,IN,Birth Rate,30-34,75.1
2000,IN,Birth Rate,30-34,83
2005,IN,Birth Rate,30-34,87.8
2006,IN,Birth Rate,30-34,89.2
2007,IN,Birth Rate,30-34,91.2
2008,IN,Birth Rate,30-34,90.2
2009,IN,Birth Rate,30-34,89.7
2010,IN,Birth Rate,30-34,89.6
2011,IN,Birth Rate,30-34,90.5
2012,IN,Birth Rate,30-34,91.4
2013,IN,Birth Rate,30-34,90.9
2014,IN,Birth Rate,30-34,95.8
2015,IN,Birth Rate,30-34,97.4
2016,IN,Birth Rate,30-34,99.2
1988,IA,Birth Rate,30-34,70
1992,IA,Birth Rate,30-34,79.2
1996,IA,Birth Rate,30-34,86.6
2000,IA,Birth Rate,30-34,95.4
2005,IA,Birth Rate,30-34,96.1
2006,IA,Birth Rate,30-34,99.9
2007,IA,Birth Rate,30-34,102.2
2008,IA,Birth Rate,30-34,101.7
2009,IA,Birth Rate,30-34,102.4
2010,IA,Birth Rate,30-34,101.5
2011,IA,Birth Rate,30-34,103.2
2012,IA,Birth Rate,30-34,102.9
2013,IA,Birth Rate,30-34,106.9
2014,IA,Birth Rate,30-34,111
2015,IA,Birth Rate,30-34,111
2016,IA,Birth Rate,30-34,114
1988,KS,Birth Rate,30-34,72.8
1992,KS,Birth Rate,30-34,76.5
1996,KS,Birth Rate,30-34,82.3
2000,KS,Birth Rate,30-34,96.6
2005,KS,Birth Rate,30-34,96.4
2006,KS,Birth Rate,30-34,99.9
2007,KS,Birth Rate,30-34,102.7
2008,KS,Birth Rate,30-34,103.1
2009,KS,Birth Rate,30-34,101.7
2010,KS,Birth Rate,30-34,99.8
2011,KS,Birth Rate,30-34,99.1
2012,KS,Birth Rate,30-34,101.8
2013,KS,Birth Rate,30-34,101.6
2014,KS,Birth Rate,30-34,107.5
2015,KS,Birth Rate,30-34,106.8
2016,KS,Birth Rate,30-34,109.8
1988,KY,Birth Rate,30-34,51.5
1992,KY,Birth Rate,30-34,57.2
1996,KY,Birth Rate,30-34,61.5
2000,KY,Birth Rate,30-34,69.6
2005,KY,Birth Rate,30-34,77.5
2006,KY,Birth Rate,30-34,79.2
2007,KY,Birth Rate,30-34,79.9
2008,KY,Birth Rate,30-34,80.3
2009,KY,Birth Rate,30-34,80.9
2010,KY,Birth Rate,30-34,79.2
2011,KY,Birth Rate,30-34,80.5
2012,KY,Birth Rate,30-34,82.6
2013,KY,Birth Rate,30-34,84.4
2014,KY,Birth Rate,30-34,87.6
2015,KY,Birth Rate,30-34,88.4
2016,KY,Birth Rate,30-34,93
1988,LA,Birth Rate,30-34,65.8
1992,LA,Birth Rate,30-34,65.9
1996,LA,Birth Rate,30-34,68.4
2000,LA,Birth Rate,30-34,75.7
2005,LA,Birth Rate,30-34,70
2006,LA,Birth Rate,30-34,78.6
2007,LA,Birth Rate,30-34,82.1
2008,LA,Birth Rate,30-34,80.4
2009,LA,Birth Rate,30-34,80.1
2010,LA,Birth Rate,30-34,77.5
2011,LA,Birth Rate,30-34,78.4
2012,LA,Birth Rate,30-34,81.2
2013,LA,Birth Rate,30-34,82.7
2014,LA,Birth Rate,30-34,86.9
2015,LA,Birth Rate,30-34,88.2
2016,LA,Birth Rate,30-34,89
1988,ME,Birth Rate,30-34,63.4
1992,ME,Birth Rate,30-34,66.1
1996,ME,Birth Rate,30-34,68
2000,ME,Birth Rate,30-34,73.2
2005,ME,Birth Rate,30-34,88.4
2006,ME,Birth Rate,30-34,88.3
2007,ME,Birth Rate,30-34,86
2008,ME,Birth Rate,30-34,85.9
2009,ME,Birth Rate,30-34,86.4
2010,ME,Birth Rate,30-34,84.9
2011,ME,Birth Rate,30-34,86.3
2012,ME,Birth Rate,30-34,90.1
2013,ME,Birth Rate,30-34,90.9
2014,ME,Birth Rate,30-34,91.5
2015,ME,Birth Rate,30-34,93.3
2016,ME,Birth Rate,30-34,93.5
1988,MD,Birth Rate,30-34,78.1
1992,MD,Birth Rate,30-34,84.3
1996,MD,Birth Rate,30-34,84.4
2000,MD,Birth Rate,30-34,97.2
2005,MD,Birth Rate,30-34,103.8
2006,MD,Birth Rate,30-34,107
2007,MD,Birth Rate,30-34,109.8
2008,MD,Birth Rate,30-34,108.5
2009,MD,Birth Rate,30-34,105.1
2010,MD,Birth Rate,30-34,104.4
2011,MD,Birth Rate,30-34,104.4
2012,MD,Birth Rate,30-34,105.6
2013,MD,Birth Rate,30-34,104.6
2014,MD,Birth Rate,30-34,109.8
2015,MD,Birth Rate,30-34,109.1
2016,MD,Birth Rate,30-34,109.7
1988,MA,Birth Rate,30-34,87.6
1992,MA,Birth Rate,30-34,93.6
1996,MA,Birth Rate,30-34,97.8
2000,MA,Birth Rate,30-34,107.4
2005,MA,Birth Rate,30-34,113.7
2006,MA,Birth Rate,30-34,115.6
2007,MA,Birth Rate,30-34,116
2008,MA,Birth Rate,30-34,115.4
2009,MA,Birth Rate,30-34,113.7
2010,MA,Birth Rate,30-34,112.3
2011,MA,Birth Rate,30-34,113.4
2012,MA,Birth Rate,30-34,110.6
2013,MA,Birth Rate,30-34,111.9
2014,MA,Birth Rate,30-34,111.7
2015,MA,Birth Rate,30-34,110.9
2016,MA,Birth Rate,30-34,110.1
1988,MI,Birth Rate,30-34,70
1992,MI,Birth Rate,30-34,76.9
1996,MI,Birth Rate,30-34,82.3
2000,MI,Birth Rate,30-34,92.4
2005,MI,Birth Rate,30-34,93.9
2006,MI,Birth Rate,30-34,96.8
2007,MI,Birth Rate,30-34,97.5
2008,MI,Birth Rate,30-34,96.3
2009,MI,Birth Rate,30-34,95.8
2010,MI,Birth Rate,30-34,94.9
2011,MI,Birth Rate,30-34,95.9
2012,MI,Birth Rate,30-34,96.3
2013,MI,Birth Rate,30-34,98.1
2014,MI,Birth Rate,30-34,101.4
2015,MI,Birth Rate,30-34,103
2016,MI,Birth Rate,30-34,106.2
1988,MN,Birth Rate,30-34,81.7
1992,MN,Birth Rate,30-34,86.4
1996,MN,Birth Rate,30-34,92.7
2000,MN,Birth Rate,30-34,108
2005,MN,Birth Rate,30-34,113.3
2006,MN,Birth Rate,30-34,116.3
2007,MN,Birth Rate,30-34,117.3
2008,MN,Birth Rate,30-34,116.4
2009,MN,Birth Rate,30-34,114.4
2010,MN,Birth Rate,30-34,114
2011,MN,Birth Rate,30-34,115.5
2012,MN,Birth Rate,30-34,116.8
2013,MN,Birth Rate,30-34,118.3
2014,MN,Birth Rate,30-34,121.4
2015,MN,Birth Rate,30-34,123.6
2016,MN,Birth Rate,30-34,124.2
1988,MS,Birth Rate,30-34,57.5
1992,MS,Birth Rate,30-34,59.7
1996,MS,Birth Rate,30-34,61
2000,MS,Birth Rate,30-34,66.1
2005,MS,Birth Rate,30-34,69.8
2006,MS,Birth Rate,30-34,72.8
2007,MS,Birth Rate,30-34,73.7
2008,MS,Birth Rate,30-34,73.3
2009,MS,Birth Rate,30-34,71.9
2010,MS,Birth Rate,30-34,67.8
2011,MS,Birth Rate,30-34,70
2012,MS,Birth Rate,30-34,70.9
2013,MS,Birth Rate,30-34,73.1
2014,MS,Birth Rate,30-34,75.6
2015,MS,Birth Rate,30-34,76.7
2016,MS,Birth Rate,30-34,79.2
1988,MO,Birth Rate,30-34,67.1
1992,MO,Birth Rate,30-34,70
1996,MO,Birth Rate,30-34,74.7
2000,MO,Birth Rate,30-34,83.1
2005,MO,Birth Rate,30-34,87.1
2006,MO,Birth Rate,30-34,89.3
2007,MO,Birth Rate,30-34,90.1
2008,MO,Birth Rate,30-34,90.4
2009,MO,Birth Rate,30-34,90
2010,MO,Birth Rate,30-34,89.6
2011,MO,Birth Rate,30-34,91.2
2012,MO,Birth Rate,30-34,91.5
2013,MO,Birth Rate,30-34,92.5
2014,MO,Birth Rate,30-34,95.3
2015,MO,Birth Rate,30-34,96.7
2016,MO,Birth Rate,30-34,97.9
1988,MT,Birth Rate,30-34,73.1
1992,MT,Birth Rate,30-34,76.5
1996,MT,Birth Rate,30-34,78.1
2000,MT,Birth Rate,30-34,84.1
2005,MT,Birth Rate,30-34,90.7
2006,MT,Birth Rate,30-34,97.5
2007,MT,Birth Rate,30-34,98.3
2008,MT,Birth Rate,30-34,96.9
2009,MT,Birth Rate,30-34,93.9
2010,MT,Birth Rate,30-34,96.7
2011,MT,Birth Rate,30-34,96
2012,MT,Birth Rate,30-34,96.7
2013,MT,Birth Rate,30-34,95.6
2014,MT,Birth Rate,30-34,101.4
