Company_Name,Coding,Year,ESG Score,Return on Equity,Return on Asset,Earning Per Share,Price/Sales Per Share Ratio,Earning before Interest & Taxes,DIVIDEND_YIELD
3M,25,2014,71.56,32.38,15.8,7.486,3.42,7.128,2.49
3M,25,2015,86.31,38.95,15.77,7.585,3.17,6.942,2.57
3M,25,2016,77.44,46.49,16.01,8.162,3.67,7.252,2.9
3M,25,2017,87.51,44.44,14.66,9.173,4.56,7.966,2.5
3M,25,2018,59.38,50.09,15.28,9.178,3.5,7.35,1.92
3M,25,2019,75.92,46.02,12.24,7.809,3.21,6.309,2.83
3M,25,2020,47.84,46.96,12.79,9.247,3.16,7.23,3.18
GENERAL MOTORS,26,2008,32.12,11.81,4.89,1.651,0.44,6.835,1.55
GENERAL MOTORS,26,2009,37.21,11.81,2.85,2.92,0.32,107.225,5.02
GENERAL MOTORS,26,2010,34.52,20.51,5.02,2.89,0.44,6.835,3.45
GENERAL MOTORS,26,2011,40.21,30.04,6.74,4.58,0.22,6.525,3.45
GENERAL MOTORS,26,2012,39.63,19.22,4.89,2.92,0.32,-29.768,3
GENERAL MOTORS,26,2013,30.18,11.81,4.2,2.379,0.44,5.982,3.28
GENERAL MOTORS,26,2014,30.76,11.81,2.85,1.651,0.38,2.555,3
GENERAL MOTORS,26,2015,44.67,25.72,6.27,5.906,0.37,5.967,3.5
GENERAL MOTORS,26,2016,43.7,22.52,6.33,6.004,0.33,12.082,5.02
GENERAL MOTORS,26,2017,52.28,-9.84,-1.03,2.334,0.41,12.692,4.07
GENERAL MOTORS,26,2018,69.49,21.43,5.65,5.392,0.33,10.266,3.45
GENERAL MOTORS,26,2019,49.31,11.81,5.03,4.573,0.38,10.591,4.04
GENERAL MOTORS,26,2020,47.06,14.39,4.67,4.332,0.49,11.542,4.32
LOCKHEED MARTIN,27,2008,59.19,50.78,12.28,7.86,0.81,4.842,1.55
LOCKHEED MARTIN,27,2009,64.87,86.47,10.45,7.78,0.65,4.184,2.89
LOCKHEED MARTIN,27,2010,49.87,74.67,10.01,7.94,0.56,3.859,3.28
LOCKHEED MARTIN,27,2011,63.57,118.05,8.86,7.81,0.59,3.653,4.03
LOCKHEED MARTIN,27,2012,43.93,527.88,8.89,8.36,0.64,4.178,4.91
LOCKHEED MARTIN,27,2013,49.86,120.27,9.55,9.13,1.07,4.184,4.9
LOCKHEED MARTIN,27,2014,71.45,86.9,11.55,11.21,1.36,5.256,3.51
LOCKHEED MARTIN,27,2015,74.43,110.97,10.02,11.455,1.48,5.123,3.11
LOCKHEED MARTIN,27,2016,82.85,230.12,13.58,17.493,1.6,5.106,3.05
LOCKHEED MARTIN,27,2017,84.97,483.57,5.73,13.297,1.83,5.713,2.86
LOCKHEED MARTIN,27,2018,77.11,1855.15,13.09,17.444,1.4,6.387,2.38
LOCKHEED MARTIN,27,2019,79.36,275.6,15.71,21.952,1.85,7.894,3.17
LOCKHEED MARTIN,27,2020,49.21,149.49,15.97,24.299,1.53,8.826,2.31
PARKER-HANNIFIN,28,2008,31.47,19.05,10.77,5.46,0.6,1.42552,1.25
PARKER-HANNIFIN,28,2009,33.34,10.66,5.74,1.74,0.85,0.793525,2.57
PARKER-HANNIFIN,28,2010,46.01,12.83,6.29,5.19,1.41,0.858416,1.7
PARKER-HANNIFIN,28,2011,49.21,21.52,10.71,6.95,1.02,1.513425,1.29
PARKER-HANNIFIN,28,2012,47.33,22.41,11.28,6.744,1,1.669488,1.8
PARKER-HANNIFIN,28,2013,48.02,17.84,8.83,6.766,1.5,1.402553,1.84
PARKER-HANNIFIN,28,2014,58.02,16.79,8.59,7.267,1.48,1.639286,1.41
PARKER-HANNIFIN,28,2015,52.01,17.21,8.52,6.039,1.11,1.550646,2.06
PARKER-HANNIFIN,28,2016,59.98,16.67,7.68,6.49,1.69,1.251245,2.78
PARKER-HANNIFIN,28,2017,60.24,19.99,8.1,9.007,2.25,1.491077,1.72
PARKER-HANNIFIN,28,2018,44.69,19.08,7.91,10.779,1.41,1.96665,1.26
PARKER-HANNIFIN,28,2019,61.27,25.59,10.17,10.515,1.89,2.030563,1.95
PARKER-HANNIFIN,28,2020,59.4,19.98,7.83,10.987,2.58,1.745788,1.7
STRYKER,29,2008,40.7,21.28,16.02,2.78,2.46,1.6107,0.46
STRYKER,29,2009,37.04,18.45,13.74,2.77,2.99,1.6331,0.97
STRYKER,29,2010,50.45,18.5,13.61,3.19,2.93,1.8071,1.07
STRYKER,29,2011,49.56,18.11,12.37,3.45,2.33,1.78,1.25
STRYKER,29,2012,45.07,15.95,10.62,3.389,2.43,1.768,1.64
STRYKER,29,2013,30.56,11.4,7.33,2.633,3.18,1.295,1.8
STRYKER,29,2014,34.88,5.84,3.53,1.345,3.73,1.273,1.56
STRYKER,29,2015,42.24,16.82,9,3.778,3.56,1.843,1.48
STRYKER,29,2016,45.44,18.24,9.79,4.351,4,2.149,1.67
STRYKER,29,2017,53.58,10.45,5.54,4.875,4.73,2.31,1.38
STRYKER,29,2018,63.08,32.75,15.76,5.243,4.38,2.62,1.19
STRYKER,29,2019,64.64,16.98,8.53,5.482,5.36,2.849,1.32
STRYKER,29,2020,46.9,12.35,6.02,4.203,6.49,2.269,1.11
TJX ,30,2008,32.6,41.29,14.15,0.5,0.48,1.487431,1.26
TJX ,30,2009,54.93,48.31,18.28,0.71,0.77,2.002596,2.25
TJX ,30,2010,68.05,44.85,17.82,0.825,0.82,2.213106,1.27
TJX ,30,2011,67.29,47.43,18.78,0.965,1.08,2.458097,1.31
TJX ,30,2012,68.09,55.47,21.73,1.275,1.23,3.118183,1.17
TJX ,30,2013,64.71,54.14,22.02,1.471,1.69,3.36558,1.05
TJX ,30,2014,55.14,52.16,21.16,1.574,1.66,3.605264,0.92
TJX ,30,2015,57.98,53.15,20.64,1.667,1.57,3.718569,1.06
TJX ,30,2016,60.33,52.13,19.2,1.729,1.5,3.784714,1.23
TJX ,30,2017,72.37,52.16,20.64,1.95,1.38,3.920883,1.37
TJX ,30,2018,72.7,60.01,21.93,2.43,1.45,4.23805,1.6
TJX ,30,2019,69.16,59.51,17.26,2.669,1.8,4.465309,1.67
TJX ,30,2020,53.82,1.54,0.89,0.072,2.58,0.283263,1.47
DUKE ENERGY,31,2008,50.85,6.38,3.58,3.03,1.44,2.754,4.35
DUKE ENERGY,31,2009,72.15,5.03,2.84,2.49,1.75,2.513,6.14
DUKE ENERGY,31,2010,43.58,5.96,3.21,3,1.64,2.934,5.62
DUKE ENERGY,31,2011,44.19,7.53,3.72,3.84,2.02,3.159,5.47
DUKE ENERGY,31,2012,40.2,5.56,2.92,3.07,1.87,3.543,4.69
DUKE ENERGY,31,2013,49.21,6.48,3.21,3.775,1.98,5.344,4.68
DUKE ENERGY,31,2014,75.91,4.58,2.49,2.663,2.47,5.626,4.62
DUKE ENERGY,31,2015,62.89,6.99,3.2,4.058,2.11,5.681,3.71
DUKE ENERGY,31,2016,72.15,5.33,2.68,3.114,2.36,5.665,4.56
DUKE ENERGY,31,2017,67.95,7.39,3.21,4.21,2.5,6.129,4.43
DUKE ENERGY,31,2018,47.69,6.23,3.05,3.794,2.49,5.084,4.51
DUKE ENERGY,31,2019,71.74,8.36,3.61,5.085,2.65,6.139,4.43
DUKE ENERGY,31,2020,68.53,2.8,1.92,1.721,2.83,5.006,4.14
EDWARDS LIFESCIENCES,32,2008,34.15,15.04,9.92,0.182,2.65,0.1696,3.5
EDWARDS LIFESCIENCES,32,2009,36.94,22.5,15.7,0.325,3.86,0.3059,3.12
EDWARDS LIFESCIENCES,32,2010,38.79,17.68,13.3,0.305,6.66,0.2698,3.09
EDWARDS LIFESCIENCES,32,2011,42.07,17.89,12.96,0.33,5.03,0.2813,4.1
EDWARDS LIFESCIENCES,32,2012,44.46,20.81,14.32,0.413,5.62,0.3962,4.02
EDWARDS LIFESCIENCES,32,2013,42.8,25.78,16.38,0.574,3.66,0.5211,2.98
EDWARDS LIFESCIENCES,32,2014,33.91,43.42,27.22,1.246,5.95,1.1656,4.3
EDWARDS LIFESCIENCES,32,2015,54.32,21.08,13.99,0.75,6.98,0.6408,1.35
EDWARDS LIFESCIENCES,32,2016,70.16,22.24,14.21,0.872,6.89,0.7559,2.7
EDWARDS LIFESCIENCES,32,2017,71.59,20.94,12.25,1.355,7.08,1.0592,3.5
EDWARDS LIFESCIENCES,32,2018,49.43,23.69,14.08,1.152,8.79,0.7948,3.2
EDWARDS LIFESCIENCES,32,2019,48.05,28.73,18.64,1.649,11.39,1.1938,3.1
EDWARDS LIFESCIENCES,32,2020,47.95,18.88,12.55,1.303,13.14,0.9325,3.8
ILLINOIS TOOL WORKS,33,2008,35.93,17.86,10.58,3.04,1.15,2.343838,2.31
ILLINOIS TOOL WORKS,33,2009,27.43,11.5,6.9,1.89,1.74,1.378629,3.6
ILLINOIS TOOL WORKS,33,2010,43.28,16.8,10.58,3.03,1.69,2.387449,2.56
ILLINOIS TOOL WORKS,33,2011,48.59,21.16,13.25,4.19,1.3,2.784847,2.43
ILLINOIS TOOL WORKS,33,2012,44.1,27.89,16.59,6.06,1.61,3.847,2.92
ILLINOIS TOOL WORKS,33,2013,47.83,16.57,9.52,3.737,2.67,2.6,2.42
ILLINOIS TOOL WORKS,33,2014,39.58,35.66,16.81,7.28,2.65,2.958,2.04
ILLINOIS TOOL WORKS,33,2015,44.22,31.54,12.59,5.131,2.56,2.949,2.09
ILLINOIS TOOL WORKS,33,2016,45.15,42.94,14.53,5.699,3.22,3.084,2.66
ILLINOIS TOOL WORKS,33,2017,46.18,38.17,11.96,6.762,4.04,3.53,2.11
ILLINOIS TOOL WORKS,33,2018,44.83,65.39,18.08,7.603,2.89,3.651,1.83
ILLINOIS TOOL WORKS,33,2019,53.01,80.29,18.68,7.743,4.15,3.509,3.07
ILLINOIS TOOL WORKS,33,2020,66.03,67.96,15.33,6.626,5.16,2.91,2.4
SOUTHERN,34,2008,70.14,13.58,4.92,2.25,1.67,3.425,4.06
SOUTHERN,34,2009,67.63,11.67,4.34,2.07,1.69,3.264,4.89
SOUTHERN,34,2010,48.62,12.71,4.73,2.36,1.83,3.742,5.23
SOUTHERN,34,2011,42.91,13.04,4.87,2.55,2.27,4.177,4.73
SOUTHERN,34,2012,45.73,13.1,4.97,2.67,2.28,4.465,4.17
SOUTHERN,34,2013,47.87,8.81,3.56,1.866,2.12,3.383,4.55
SOUTHERN,34,2014,47.75,10.08,3.8,2.179,2.4,3.843,4.94
SOUTHERN,34,2015,56.71,11.68,3.98,2.59,2.45,4.469,4.18
SOUTHERN,34,2016,70.9,10.8,3.55,2.555,2.37,4.717,4.6
SOUTHERN,34,2017,64.18,3.44,1.78,0.573,2.1,2.634,4.59
SOUTHERN,34,2018,60.64,9.11,3.24,2.142,1.92,4.443,5.17
SOUTHERN,34,2019,52.68,18.15,5.2,4.504,3.13,8.116,5.2
SOUTHERN,34,2020,61.59,11.24,3.78,2.93,3.21,5.164,3.82
BECTON DICKINSON,35,2008,54.92,24.24,15.35,4.64,2.41,1.58995,1.24
BECTON DICKINSON,35,2009,74.27,24.44,14.81,5.04,2.76,1.673263,1.86
BECTON DICKINSON,35,2010,60.31,24.91,14.48,5.55,2.74,1.705579,1.92
BECTON DICKINSON,35,2011,75.52,24.77,13.37,5.46,2.16,1.795609,1.98
BECTON DICKINSON,35,2012,70.11,26.1,11.67,7.529,2.12,1.594982,2.4
BECTON DICKINSON,35,2013,57.84,28.2,11.84,4.728,2.73,1.304,2.41
BECTON DICKINSON,35,2014,75.88,23.48,10.35,5.768,3.26,1.657,1.95
BECTON DICKINSON,35,2015,70.74,11.38,4.77,3.264,3.11,1.11,1.7
BECTON DICKINSON,35,2016,78.39,13.19,4.69,5.991,2.88,1.462,1.82
BECTON DICKINSON,35,2017,74.29,10.01,4.54,2.549,3.96,1.5,1.68
BECTON DICKINSON,35,2018,77.09,0.94,1.83,4.757,3.73,1.591,1.32
BECTON DICKINSON,35,2019,76.42,5.14,3.29,2.389,4.32,1.809,1.36
BECTON DICKINSON,35,2020,39.72,3.42,2.44,5.203,4.13,1.489,1.15
FEDEX,36,2008,32.18,8.28,4.79,3.3,0.53,2.114,0.47
FEDEX,36,2009,62.87,0.7,0.61,-0.83,0.73,0.762,0.76
FEDEX,36,2010,66.02,8.63,5.03,4.18,0.84,1.973,0.51
FEDEX,36,2011,35.15,10,5.77,5.49,0.67,2.351,0.5
FEDEX,36,2012,44.28,13.55,7.2,6.22,0.68,3.193,0.58
FEDEX,36,2013,49.54,9.7,5.08,5.27,1.03,2.537,0.57
FEDEX,36,2014,37.67,12.81,6.6,7.819,1.18,3.449,0.42
FEDEX,36,2015,40.31,6.92,3.44,4.351,0.9,1.862,0.46
FEDEX,36,2016,77.01,12.64,4.97,6.808,1.03,3.076,0.76
FEDEX,36,2017,61.75,20.05,7.12,10.88,1.12,5.091,0.86
FEDEX,36,2018,48.63,25.73,10.03,11.668,0.67,4.911,0.74
FEDEX,36,2019,69.03,2.9,1.93,0.852,0.57,1.243,1.52
FEDEX,36,2020,41.46,7.12,2.9,9.218,0.98,2.341,1.6
NORFOLK SOUTHERN,37,2008,56.38,17.7,7.63,4.52,1.68,3.165,2.2
NORFOLK SOUTHERN,37,2009,41.62,10.28,4.95,2.76,2.45,2.057,3.24
NORFOLK SOUTHERN,37,2010,38.09,14.16,6.47,4,2.45,2.819,2.56
NORFOLK SOUTHERN,37,2011,55.14,18.53,7.77,5.45,2.29,3.345,2.2
NORFOLK SOUTHERN,37,2012,33.49,17.69,7.02,5.37,1.82,3.228,2.25
NORFOLK SOUTHERN,37,2013,54.39,18.08,7.17,6.041,2.6,3.46,3.08
NORFOLK SOUTHERN,37,2014,47.73,16.83,7.17,6.381,2.95,3.691,2.29
NORFOLK SOUTHERN,37,2015,63.66,12.6,5.65,5.095,2.45,2.991,2.26
NORFOLK SOUTHERN,37,2016,70.3,13.52,5.89,5.62,3.24,3.151,3.27
NORFOLK SOUTHERN,37,2017,72.18,37.54,16.34,7.127,3.99,3.695,2.11
NORFOLK SOUTHERN,37,2018,68.43,16.77,8.62,9.511,3.66,4.026,1.58
NORFOLK SOUTHERN,37,2019,65.08,17.79,8.61,10.248,4.56,4.095,1.95
NORFOLK SOUTHERN,37,2020,57.02,13.41,6.6,7.843,6.23,3.155,1.86
DOMINION ENERGY,38,2008,58.04,18.83,5.88,3.17,1.28,3.516,3.32
DOMINION ENERGY,38,2009,67.42,12.11,4.42,2.17,1.53,2.81,5.17
DOMINION ENERGY,38,2010,67.11,24.23,7.95,4.76,1.73,5.941,4.47
DOMINION ENERGY,38,2011,62.48,12.01,4.44,2.45,2.16,3.027,4.58
DOMINION ENERGY,38,2012,67.08,2.74,1.92,0.55,2.31,1.396,3.89
DOMINION ENERGY,38,2013,64.83,15.28,4.68,2.928,2.86,3.581,4.29
DOMINION ENERGY,38,2014,72.2,11.29,3.99,2.241,3.61,2.971,3.58
DOMINION ENERGY,38,2015,79.32,15.68,4.4,3.199,3.44,3.732,3.14
DOMINION ENERGY,38,2016,81.59,15.57,4.26,3.44,4.03,3.877,4.02
DOMINION ENERGY,38,2017,60.68,18.89,4.9,3.377,4.1,4.045,3.72
DOMINION ENERGY,38,2018,78.9,13.14,4.69,3.807,3.5,4.425,4.4
DOMINION ENERGY,38,2019,75.51,5.39,3.04,1.623,4.05,3.341,5.4
DOMINION ENERGY,38,2020,74.09,-1.75,0.69,-0.561,4.41,5.088,4.48
EATON,39,2008,67.62,18.42,8.05,3.26,0.52,1.285,1.93
EATON,39,2009,66.43,5.85,3.1,1.135,0.9,0.453,4.22
EATON,39,2010,57.97,13.14,6.45,2.735,1.26,1.172,2.9
EATON,39,2011,44.74,18.21,8.65,3.94,0.93,1.671,2.23
EATON,39,2012,47.8,10.79,5.27,3.46,1.17,1.459,2.79
EATON,39,2013,69.16,11.67,6.3,3.904,1.65,2.445,2.75
EATON,39,2014,48.89,11.01,6.14,3.76,1.44,2.238,2.22
EATON,39,2015,67.66,12.78,7.14,4.237,1.17,2.614,3.05
EATON,39,2016,75.56,12.78,7.35,4.21,1.55,2.6,4.55
EATON,39,2017,73.26,18.54,10.61,6.539,1.73,3.876,3.32
EATON,39,2018,67.09,12.86,7.47,4.91,1.39,2.695,2.85
EATON,39,2019,70.06,13.74,7.59,5.254,1.86,2.828,3.75
EATON,39,2020,64.93,9.09,4.79,3.49,2.72,1.896,3.02
AIR PRDS.& CHEMS,40,2008,56,17.28,8.08,2.97,1.06,1.4958,1.62
AIR PRDS.& CHEMS,40,2009,71.76,12.85,5.58,3.79,2.1,0.8463,3.24
AIR PRDS.& CHEMS,40,2010,72.53,19.91,8.4,4.81,2.19,1.389,2.19
AIR PRDS.& CHEMS,40,2011,84.92,21.59,9.46,5.55,1.84,1.6304,2.21
AIR PRDS.& CHEMS,40,2012,84.38,19.02,8.06,5.034,1.88,1.2882,2.58
AIR PRDS.& CHEMS,40,2013,75.52,14.71,6.27,4.723,2.33,1.3244,2.91
AIR PRDS.& CHEMS,40,2014,78.81,13.77,6.02,4.761,2.97,1.3232,2.58
AIR PRDS.& CHEMS,40,2015,79.38,17.49,7.7,6.049,2.86,1.6745,2.2
AIR PRDS.& CHEMS,40,2016,73.32,8.81,3.99,2.803,3.3,2.0903,2.74
AIR PRDS.& CHEMS,40,2017,79.27,34.96,16.99,5.612,4.4,1.4419,2.37
AIR PRDS.& CHEMS,40,2018,85.14,14.3,8.5,7.722,3.96,1.9606,2.23
AIR PRDS.& CHEMS,40,2019,80.44,16.06,9.88,8.521,5.84,2.1863,2.84
AIR PRDS.& CHEMS,40,2020,81.55,16.31,8.99,8.513,6.86,2.2683,1.98
ECOLAB,41,2008,52.7,25.55,10.76,1.8,1.43,0.7217,1.04
ECOLAB,41,2009,52.47,23.36,9.73,1.74,1.81,0.6876,1.7
ECOLAB,41,2010,63.91,25.68,11.81,2.23,1.97,0.8074,1.34
ECOLAB,41,2011,58.52,11.87,4.45,1.91,2.05,0.7522,1.43
ECOLAB,41,2012,60.48,11.98,4.99,2.354,1.82,1.2982,1.34
ECOLAB,41,2013,62.76,14.42,6.17,3.164,2.41,1.5711,1.26
ECOLAB,41,2014,67.86,16.41,7.07,3.932,2.24,1.9664,1.05
ECOLAB,41,2015,66.06,14.09,6.15,3.325,2.55,1.5714,1.3
ECOLAB,41,2016,70.69,17.81,7.66,4.144,2.64,1.9274,1.34
ECOLAB,41,2017,66.78,20.78,8.86,4.583,2.85,2.0394,1.25
ECOLAB,41,2018,69.88,18.3,8.12,5.223,2.94,2.0418,1.19
ECOLAB,41,2019,57.88,18.68,8.5,5.319,3.79,2.1139,1.24
ECOLAB,41,2020,66.57,-16.23,-5.33,3.367,5.27,1.3824,0.99
NORTHROP GRUMMAN,42,2008,62.88,-8.53,-3.45,-3.77,0.44,-0.073,1.86
NORTHROP GRUMMAN,42,2009,56.16,13.7,6.45,3.84,0.53,2.547,3.43
NORTHROP GRUMMAN,42,2010,72.37,15.65,7.45,6.77,0.56,2.876,2.9
NORTHROP GRUMMAN,42,2011,65,17.82,8.18,7.52,0.62,3.304,2.8
NORTHROP GRUMMAN,42,2012,68.19,19.93,8.55,7.81,0.68,3.177,3.4
NORTHROP GRUMMAN,42,2013,66.47,19.39,8.28,8.345,1.09,3.12,3.27
NORTHROP GRUMMAN,42,2014,65.46,23.18,8.81,9.755,1.3,3.219,2.08
NORTHROP GRUMMAN,42,2015,74.73,31.2,9.19,10.386,1.54,3.091,1.84
NORTHROP GRUMMAN,42,2016,80.13,40.81,10.16,12.19,1.71,3.224,1.72
NORTHROP GRUMMAN,42,2017,80.92,32.75,7.68,13.183,2.09,3.409,1.56
NORTHROP GRUMMAN,42,2018,75.8,42.16,10.17,18.013,1.42,4.304,1.27
NORTHROP GRUMMAN,42,2019,78.12,26.44,6.82,13.224,1.73,3.076,1.85
NORTHROP GRUMMAN,42,2020,78.64,32.88,8.63,19.027,1.39,4.321,1.41
BOSTON SCIENTIFIC,43,2008,46.45,-14.4,-5.94,-1.36,1.44,-1.563,1.19
BOSTON SCIENTIFIC,43,2009,33.12,-8.05,-2.91,-0.68,1.66,-0.895,1.24
BOSTON SCIENTIFIC,43,2010,32.48,-9.03,-3.42,-0.7,1.47,-0.67,0.99
BOSTON SCIENTIFIC,43,2011,20.86,3.89,2.88,0.29,1.06,0.924,1.86
BOSTON SCIENTIFIC,43,2012,34.27,-44.65,-20.32,-2.89,1.11,-3.844,3.43
BOSTON SCIENTIFIC,43,2013,47.19,-1.8,0.53,-0.09,2.26,0.101,2.9
BOSTON SCIENTIFIC,43,2014,45.29,-1.83,0.13,-0.09,2.38,-0.293,2.8
BOSTON SCIENTIFIC,43,2015,54.1,-3.74,-0.31,-0.178,3.31,-0.366,3.4
BOSTON SCIENTIFIC,43,2016,71.63,5.32,2.76,0.252,3.55,0.41,3.27
BOSTON SCIENTIFIC,43,2017,77.44,1.51,1.37,0.693,3.82,1.162,2.08
BOSTON SCIENTIFIC,43,2018,77.48,21.24,9.34,1.145,5.04,1.663,1.84
BOSTON SCIENTIFIC,43,2019,83.61,41.59,21.46,0.424,5.94,1.16,1.72
BOSTON SCIENTIFIC,43,2020,43.57,-0.79,0.77,-0.081,5.14,0.282,1.56
EDISON INTL.,44,2008,37.58,13.53,4.19,3.68,0.75,2.613,2.22
EDISON INTL.,44,2009,36.63,8.24,3.08,2.58,0.93,1.544,3.95
EDISON INTL.,44,2010,36.68,12.25,4.05,3.82,1.01,2.254,3.56
EDISON INTL.,44,2011,32.28,-0.36,1.2,-0.11,1.06,0.458,3.39
EDISON INTL.,44,2012,28.09,-1.88,0.56,-0.56,1.26,2.381,3.2
EDISON INTL.,44,2013,31.15,9.45,3.1,2.784,1.21,1.765,2.93
EDISON INTL.,44,2014,32.7,15.43,4.31,4.903,1.61,2.539,3.07
EDISON INTL.,44,2015,48.48,9.14,2.99,3.1,1.69,2.123,2.47
EDISON INTL.,44,2016,62.14,11.22,3.57,3.973,2,2.171,3.22
EDISON INTL.,44,2017,70.86,4.77,2.13,3.143,1.68,1.588,3.01
EDISON INTL.,44,2018,71.35,-3.82,0.51,-1.298,1.46,-0.355,3.94
EDISON INTL.,44,2019,77.41,10.81,3.42,3.765,2.08,1.968,4.21
EDISON INTL.,44,2020,53.16,5.4,2.37,1.976,1.73,1.468,3.4
EMERSON ELECTRIC,45,2008,51.5,26.97,12.63,3.06,1.16,3.835,2.33
EMERSON ELECTRIC,45,2009,57.42,19.52,9.23,2.24,1.54,2.661,3.98
EMERSON ELECTRIC,45,2010,49.25,23.59,11.01,2.94,2.06,3.159,2.98
EMERSON ELECTRIC,45,2011,48.29,24.57,11.3,3.14,1.45,3.877,2.37
EMERSON ELECTRIC,45,2012,41.6,19.02,8.92,2.804,1.59,3.358,3.3
EMERSON ELECTRIC,45,2013,38.33,19.2,8.84,2.788,2.06,3.414,2.96
EMERSON ELECTRIC,45,2014,47.69,20.74,9.3,3.166,1.77,3.542,2.49
EMERSON ELECTRIC,45,2015,63.08,29.78,12.28,3.769,1.45,4.361,3.15
EMERSON ELECTRIC,45,2016,67.17,20.9,8.1,2.467,2.48,2.531,4.33
EMERSON ELECTRIC,45,2017,69.43,18.64,7.98,2.423,2.94,2.536,3.36
EMERSON ELECTRIC,45,2018,67.12,24.94,11.78,3.205,2.18,2.869,2.62
EMERSON ELECTRIC,45,2019,71.44,26.85,12.06,3.665,2.58,3.06,3.18
EMERSON ELECTRIC,45,2020,71.36,23.62,9.72,3.452,2.9,2.51,2.6
EOG RES.,46,2008,32.37,30.46,17.62,4.86,2.61,3.779197,0.39
EOG RES.,46,2009,26.27,5.75,3.59,1.085,6.44,0.968912,0.85
EOG RES.,46,2010,22.28,1.59,1.23,0.315,4.02,0.524562,0.59
EOG RES.,46,2011,36.99,9.54,5.29,2.05,2.92,2.103162,0.62
EOG RES.,46,2012,32.32,4.4,2.72,1.055,2.96,1.474292,0.62
EOG RES.,46,2013,31.65,15.31,8.12,4.022,3.17,3.672346,0.55
EOG RES.,46,2014,35,17.6,9.33,5.315,3.03,5.196773,0.44
EOG RES.,46,2015,41.98,-29.52,-14.16,-8.291,4.44,-6.684163,0.76
EOG RES.,46,2016,42.19,-8.15,-3.24,-1.982,7.42,-1.275824,1.03
EOG RES.,46,2017,47.58,17.07,9.34,0.661,5.53,0.935554,0.64
EOG RES.,46,2018,45.12,19.18,11.33,5.801,2.93,4.48605,0.58
EOG RES.,46,2019,50.5,13.34,8.11,4.709,2.85,3.730396,0.89
EOG RES.,46,2020,52.69,-2.88,-1.21,-1.045,2.91,-0.533788,1.33
GENERAL DYNAMICS ,47,2008,36.47,22.54,9.41,6.22,0.78,3.737,1.34
GENERAL DYNAMICS ,47,2009,35.27,21.3,8.45,6.17,0.83,3.684,2.57
GENERAL DYNAMICS ,47,2010,36.92,20.39,8.66,6.81,0.84,3.957,2.14
GENERAL DYNAMICS ,47,2011,46.02,19.03,7.87,6.87,0.75,3.873,2.33
GENERAL DYNAMICS ,47,2012,37.07,-2.7,-0.66,-0.94,0.78,0.709,2.66
GENERAL DYNAMICS ,47,2013,40.35,18.21,6.95,6.668,1.08,3.71,2.9
GENERAL DYNAMICS ,47,2014,51.99,19.24,7.34,7.421,1.52,3.905,2.33
GENERAL DYNAMICS ,47,2015,56.63,26.28,9,9.076,1.43,4.2,1.81
GENERAL DYNAMICS ,47,2016,58.02,27.22,9.31,9.52,1.71,4.33,2.14
GENERAL DYNAMICS ,47,2017,62.78,25.99,8.8,9.95,2,4.194,1.71
GENERAL DYNAMICS ,47,2018,52.54,28.88,9.05,11.181,1.3,4.459,1.6
GENERAL DYNAMICS ,47,2019,63.26,27.53,8.18,11.979,1.3,4.674,2.26
GENERAL DYNAMICS ,47,2020,58.02,21.37,7.06,11.001,1.13,4.227,2.25
DOLLAR GENERAL,48,2008,0.3,3.91,4.14,0.05,0.45,0.586335,0.42
DOLLAR GENERAL,48,2009,0.6,10.91,6.72,1.04,0.62,0.948,0.64
DOLLAR GENERAL,48,2010,21.74,16.87,8.45,1.82,0.81,1.21619,0.89
DOLLAR GENERAL,48,2011,17.29,17.58,9.16,2.22,0.96,1.401647,1.02
DOLLAR GENERAL,48,2012,28.34,19.72,10.33,2.848,0.92,1.62532,0.95
DOLLAR GENERAL,48,2013,26.45,19.74,10.2,3.165,1.12,1.717314,1.53
DOLLAR GENERAL,48,2014,31.25,19.17,10.16,3.485,1.14,1.769093,1.75
DOLLAR GENERAL,48,2015,42.65,21.02,10.87,3.947,1.04,1.939968,1.22
DOLLAR GENERAL,48,2016,42.92,23.2,11.47,4.433,0.95,2.063449,1.29
DOLLAR GENERAL,48,2017,45.63,26.69,13.25,4.493,1.08,2.004316,1.37
DOLLAR GENERAL,48,2018,44.66,25.34,12.97,5.927,1.12,2.115287,1.05
DOLLAR GENERAL,48,2019,43.92,26.11,9.95,6.643,1.45,2.302304,1.03
DOLLAR GENERAL,48,2020,44.55,39.74,11.39,10.616,1.56,3.554765,0.81
ENTERPRISE PRDS.PTNS.LP.,49,2008,10.6,13.56,6.2,0.925,0.41,1.36338,6.19
ENTERPRISE PRDS.PTNS.LP.,49,2009,11.62,11.05,5.67,0.865,0.6,1.7547,9.81
ENTERPRISE PRDS.PTNS.LP.,49,2010,12.25,4.82,2.62,0.575,0.34,2.044,6.86
ENTERPRISE PRDS.PTNS.LP.,49,2011,16.34,17.43,7.68,1.19,0.9,2.7886,5.43
ENTERPRISE PRDS.PTNS.LP.,49,2012,14.17,19.13,8.34,1.355,1.05,3.1183,5.22
ENTERPRISE PRDS.PTNS.LP.,49,2013,15.93,13.1,7.77,1.409,1.28,3.2998,4.85
ENTERPRISE PRDS.PTNS.LP.,49,2014,15.02,16.72,7.75,1.468,1.43,3.5181,4.35
